epoch,lr,epoch_seconds,elapsed_seconds,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,val_jaccard,val_pixel_accuracy
23,0.0001,16.80648649999057,410.86441059999925,0.6216182016900608,0.9011111163193694,0.8226873390925588,1.8878691366740636,0.5250521169759658,0.39220925857208233,0.39220925857208233,0.8190561930338541
24,0.0001,16.27075880000484,427.13620760000776,0.6178076804748603,0.9010966371147447,0.8228786722034283,1.8317381824765886,0.5437301945921468,0.4133776180802302,0.4133776180802302,0.830081322079613
25,0.0001,17.03058810000948,444.4389632000093,0.616476159542799,0.9040216357437838,0.8275388883767179,1.8029560872486659,0.5466839636073318,0.4140486621686245,0.4140486621686245,0.8339676629929316
26,0.0001,16.831485600007,461.50225600000704,0.5915445030799934,0.9097254139234193,0.8367113564007642,1.7874398997851781,0.5395697197940675,0.4070792886193522,0.4070792886193522,0.8312558128720238
27,0.0001,17.555902799998876,479.05940620000183,0.5906524040869304,0.9104386439223545,0.8380129728317556,1.8762180975505285,0.5357555787338535,0.40531181203591743,0.40531181203591743,0.8312164306640625
28,0.0001,17.60205600000336,496.6628378000023,0.5659613486911569,0.915489716798097,0.8462805415119202,1.8054260611534119,0.5408189983684217,0.41338139589465783,0.41338139589465783,0.8363311767578125
29,0.0001,17.13586110000324,513.8003200000094,0.5655630049960954,0.9148613852572176,0.8451029708192769,1.9496284467833382,0.5183774353159204,0.39197647583042233,0.39197647583042233,0.8219383603050595
30,0.0001,16.69500199999311,530.4968414000032,0.5625625880701202,0.918038041038703,0.8506234509781951,1.85540166922978,0.52504764144561,0.3967664392473132,0.3967664392473132,0.8259485153924851
31,5e-05,16.99062050000066,547.4888071000023,0.5593059084245137,0.9157108034533878,0.8465672007528143,1.8386942829404558,0.5418072608174713,0.41011288268131957,0.41011288268131957,0.8296120779854911
32,5e-05,16.493201000004774,563.9833289000089,0.5401486706520829,0.9212959985946151,0.8559128348117502,1.8174210446221488,0.5424238429933649,0.4126503813752153,0.4126503813752153,0.83433837890625
33,5e-05,16.3609196000034,580.3454314999981,0.5239328550440925,0.9275267275987034,0.8664806884362111,1.8611287900379725,0.5439810097302834,0.4131574839969805,0.4131574839969805,0.8312110537574404
